                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4115,                 1.0854,                 1.5813,                0.80422,                0.75949,                0.84004,                0.48898,                  1.476,                  1.034,                 1.6096,               0.006733,               0.006733,               0.006733
                     36,                 1.4209,                 1.0815,                 1.5725,                 0.8838,                0.73956,                0.85004,                0.51983,                 1.4308,                0.98189,                 1.5749,               0.006634,               0.006634,               0.006634
                     37,                 1.4145,                 1.0531,                 1.5732,                0.84224,                0.74751,                0.84511,                0.50875,                 1.4216,                 1.0187,                 1.5796,               0.006535,               0.006535,               0.006535
                     38,                 1.3867,                 1.0385,                 1.5498,                0.85313,                0.73956,                0.84728,                0.52618,                 1.3861,                0.97149,                 1.5375,               0.006436,               0.006436,               0.006436
                     39,                 1.3986,                 1.0383,                 1.5552,                0.82568,                0.77932,                0.86011,                0.51765,                 1.4141,                0.96453,                 1.5575,               0.006337,               0.006337,               0.006337
                     40,                 1.3765,                 1.0215,                 1.5333,                  0.821,                0.77734,                0.86587,                0.52223,                 1.4013,                0.96337,                 1.5481,               0.006238,               0.006238,               0.006238
                     41,                 1.3754,                 1.0258,                 1.5227,                 0.8832,                0.69185,                0.84765,                0.49939,                  1.477,                0.98777,                 1.5774,               0.006139,               0.006139,               0.006139
                     42,                 1.3479,                 1.0014,                 1.5179,                 0.8437,                 0.7405,                 0.8525,                0.51445,                 1.4083,                0.95038,                 1.5506,                0.00604,                0.00604,                0.00604
                     43,                  1.336,                0.98668,                 1.5022,                0.82405,                0.77282,                0.85135,                0.51597,                  1.403,                0.95153,                 1.5348,               0.005941,               0.005941,               0.005941
                     44,                 1.3253,                 1.0017,                 1.5104,                0.84069,                0.75944,                0.85304,                0.51708,                 1.3872,                0.96171,                 1.5231,               0.005842,               0.005842,               0.005842
                     45,                 1.3068,                0.96595,                 1.4965,                0.86325,                0.76552,                0.86799,                0.52467,                 1.4061,                0.94871,                 1.5361,               0.005743,               0.005743,               0.005743
                     46,                 1.2813,                0.95287,                 1.4723,                0.86531,                0.77535,                 0.8638,                0.50479,                 1.4247,                0.98415,                 1.5652,               0.005644,               0.005644,               0.005644
                     47,                 1.3056,                0.96833,                  1.475,                0.87941,                0.77932,                0.87242,                0.52839,                   1.41,                0.95834,                  1.526,               0.005545,               0.005545,               0.005545
                     48,                 1.2685,                0.93567,                   1.45,                0.85187,                0.76601,                0.85259,                0.52674,                  1.386,                0.93983,                 1.5061,               0.005446,               0.005446,               0.005446
                     49,                 1.2652,                 0.9161,                 1.4399,                0.86705,                0.76499,                0.86458,                0.52842,                 1.3894,                0.93759,                 1.5191,               0.005347,               0.005347,               0.005347
                     50,                 1.2442,                0.92657,                 1.4391,                 0.8667,                0.77559,                0.86429,                0.52246,                 1.3838,                0.93842,                 1.5324,               0.005248,               0.005248,               0.005248
                     51,                  1.269,                0.92504,                 1.4385,                0.87251,                0.76191,                0.85946,                0.52507,                 1.3973,                0.94475,                 1.5293,               0.005149,               0.005149,               0.005149
                     52,                 1.2429,                0.91228,                 1.4163,                0.90293,                 0.7495,                0.86779,                0.52246,                 1.4118,                0.93427,                 1.5168,                0.00505,                0.00505,                0.00505
                     53,                 1.2244,                0.88626,                 1.3987,                0.89279,                0.76342,                0.86165,                0.52081,                 1.4094,                0.91949,                 1.5175,               0.004951,               0.004951,               0.004951
                     54,                   1.23,                0.88442,                 1.4125,                0.88554,                0.77336,                0.87965,                0.53477,                 1.3779,                0.88903,                 1.5179,               0.004852,               0.004852,               0.004852
                     55,                 1.2193,                 0.8851,                 1.3883,                0.85048,                0.80318,                0.88199,                0.53172,                 1.3817,                0.89989,                 1.5004,               0.004753,               0.004753,               0.004753
                     56,                 1.1969,                0.86739,                 1.3823,                 0.8658,                0.77137,                0.87283,                0.53643,                 1.3611,                0.90912,                 1.4984,               0.004654,               0.004654,               0.004654
                     57,                 1.1936,                0.86289,                  1.374,                0.87478,                0.77776,                0.87249,                 0.5254,                 1.4159,                0.89668,                 1.5268,               0.004555,               0.004555,               0.004555
                     58,                 1.2127,                0.86142,                   1.38,                0.85819,                0.79324,                0.87779,                0.53084,                 1.3806,                0.88959,                 1.4971,               0.004456,               0.004456,               0.004456
                     59,                 1.1876,                0.86382,                 1.3617,                0.80925,                0.82107,                0.87133,                0.54076,                 1.3549,                0.91564,                 1.4917,               0.004357,               0.004357,               0.004357
                     60,                 1.1881,                0.85142,                 1.3705,                0.83359,                0.79722,                0.87357,                0.53433,                 1.3852,                0.88556,                 1.4711,               0.004258,               0.004258,               0.004258
                     61,                  1.184,                 0.8373,                 1.3575,                0.85044,                0.77932,                0.87016,                0.53531,                 1.3901,                0.88416,                 1.5024,               0.004159,               0.004159,               0.004159
                     62,                 1.1465,                0.81763,                 1.3462,                0.88274,                0.79325,                0.88614,                0.53268,                 1.4093,                0.88381,                 1.4978,                0.00406,                0.00406,                0.00406
                     63,                  1.149,                0.81273,                 1.3489,                0.84962,                0.77932,                0.86706,                0.53836,                 1.3774,                0.87857,                 1.4946,               0.003961,               0.003961,               0.003961
                     64,                 1.1547,                0.82098,                 1.3401,                0.85383,                0.78728,                0.86435,                0.52369,                 1.4044,                 0.8645,                 1.5215,               0.003862,               0.003862,               0.003862
                     65,                 1.1412,                0.80731,                 1.3414,                0.88759,                0.78529,                0.87538,                0.54342,                 1.3564,                0.86669,                 1.4751,               0.003763,               0.003763,               0.003763
                     66,                 1.1243,                0.80821,                 1.3245,                0.87128,                0.79397,                0.87386,                0.53339,                 1.3729,                0.88378,                 1.4825,               0.003664,               0.003664,               0.003664
                     67,                 1.1278,                0.80765,                 1.3314,                0.87497,                0.77932,                0.87355,                0.53813,                 1.3472,                0.86708,                 1.4706,               0.003565,               0.003565,               0.003565
                     68,                 1.1234,                0.79038,                 1.3138,                0.88612,                0.75746,                0.86838,                0.53413,                 1.3626,                0.89121,                 1.4584,               0.003466,               0.003466,               0.003466
                     69,                 1.1315,                0.79567,                 1.3142,                0.86841,                0.77409,                0.86949,                  0.536,                 1.3615,                0.87203,                 1.4668,               0.003367,               0.003367,               0.003367
                     70,                 1.0963,                 0.7813,                 1.2997,                0.87771,                0.78728,                 0.8823,                0.54318,                 1.3427,                 0.8425,                  1.469,               0.003268,               0.003268,               0.003268
                     71,                 1.1107,                0.77774,                 1.3058,                0.85779,                0.80716,                0.88196,                0.54902,                 1.3259,                0.85536,                 1.4416,               0.003169,               0.003169,               0.003169
                     72,                 1.0862,                0.77229,                 1.3018,                0.89485,                0.79522,                0.88752,                0.54854,                 1.3457,                0.83793,                  1.462,                0.00307,                0.00307,                0.00307
                     73,                  1.084,                0.76259,                  1.296,                0.87312,                0.79125,                0.87172,                0.54425,                 1.3512,                0.85491,                 1.4737,               0.002971,               0.002971,               0.002971
                     74,                 1.0692,                0.75452,                  1.291,                0.86407,                0.78728,                0.87001,                0.52541,                 1.3844,                0.87465,                 1.4967,               0.002872,               0.002872,               0.002872
                     75,                 1.0764,                 0.7554,                 1.2885,                0.84805,                0.78926,                0.87023,                0.55679,                 1.3242,                0.85351,                 1.4404,               0.002773,               0.002773,               0.002773
                     76,                 1.0871,                0.76262,                 1.2876,                0.86596,                 0.7992,                0.87838,                0.53691,                  1.352,                0.85447,                 1.4636,               0.002674,               0.002674,               0.002674
                     77,                 1.0839,                 0.7703,                 1.2978,                0.86824,                0.79722,                0.88116,                0.54688,                 1.3463,                0.85325,                 1.4569,               0.002575,               0.002575,               0.002575
                     78,                 1.0495,                0.74367,                 1.2819,                0.90984,                0.77535,                0.88901,                0.54383,                 1.3535,                0.82442,                 1.4663,               0.002476,               0.002476,               0.002476
                     79,                 1.0688,                0.75099,                 1.2715,                0.90262,                 0.7674,                0.87425,                0.54268,                 1.3476,                0.85095,                 1.4578,               0.002377,               0.002377,               0.002377
                     80,                 1.0398,                0.75349,                 1.2894,                 0.8664,                0.78647,                0.87552,                0.55256,                 1.3328,                0.84096,                 1.4503,               0.002278,               0.002278,               0.002278
                     81,                 1.0437,                0.73082,                 1.2634,                0.85131,                0.80318,                0.87923,                0.55184,                 1.3297,                0.85208,                 1.4499,               0.002179,               0.002179,               0.002179
                     82,                 1.0343,                0.73694,                 1.2628,                0.89197,                0.77734,                0.88143,                0.54551,                 1.3273,                0.84464,                 1.4598,                0.00208,                0.00208,                0.00208
                     83,                 1.0258,                0.71414,                 1.2494,                0.89356,                0.78438,                0.88083,                0.55382,                 1.3234,                0.84058,                 1.4462,               0.001981,               0.001981,               0.001981
                     84,                 1.0249,                0.73815,                 1.2633,                 0.8808,                0.79326,                0.88165,                0.56061,                  1.316,                0.83282,                 1.4372,               0.001882,               0.001882,               0.001882
                     85,                 1.0177,                0.72273,                 1.2496,                0.84571,                0.81726,                 0.8833,                0.55448,                 1.3167,                  0.829,                 1.4445,               0.001783,               0.001783,               0.001783
                     86,                 1.0115,                0.71613,                 1.2567,                0.88915,                0.77932,                0.87232,                0.55042,                 1.3406,                0.82981,                 1.4606,               0.001684,               0.001684,               0.001684
                     87,                 1.0167,                 0.7019,                 1.2332,                0.86847,                0.78926,                0.87446,                0.54812,                  1.342,                0.82616,                 1.4566,               0.001585,               0.001585,               0.001585
                     88,                 1.0118,                0.70111,                 1.2346,                 0.8894,                0.79722,                0.89543,                0.55146,                 1.3493,                0.82348,                 1.4658,               0.001486,               0.001486,               0.001486
                     89,                 1.0014,                0.71066,                 1.2492,                0.89484,                0.78529,                 0.8901,                0.54795,                 1.3377,                0.81826,                  1.446,               0.001387,               0.001387,               0.001387
                     90,                 1.0008,                0.70209,                 1.2359,                0.88485,                 0.7992,                0.88728,                0.55258,                 1.3247,                 0.8214,                 1.4387,               0.001288,               0.001288,               0.001288
                     91,                0.91286,                0.63135,                 1.1516,                0.86267,                0.80517,                0.87478,                0.54894,                  1.342,                0.84451,                 1.4358,               0.001189,               0.001189,               0.001189
                     92,                0.88688,                0.59979,                 1.1352,                 0.8729,                0.79191,                 0.8788,                0.54972,                 1.3218,                0.81738,                 1.4474,                0.00109,                0.00109,                0.00109
                     93,                0.89058,                0.60607,                 1.1449,                0.91998,                0.77734,                0.88801,                0.54999,                 1.3267,                0.81882,                 1.4631,               0.000991,               0.000991,               0.000991
                     94,                0.87518,                 0.5893,                 1.1348,                0.89307,                0.77535,                0.88231,                0.54555,                 1.3307,                0.80871,                 1.4724,               0.000892,               0.000892,               0.000892
                     95,                0.87108,                0.58678,                 1.1266,                0.89984,                0.76342,                0.87809,                 0.5488,                 1.3262,                0.81006,                 1.4604,               0.000793,               0.000793,               0.000793
                     96,                0.85975,                 0.5884,                 1.1257,                 0.8882,                0.77734,                0.88149,                0.55105,                 1.3247,                 0.8079,                 1.4596,               0.000694,               0.000694,               0.000694
                     97,                0.85978,                0.57522,                 1.1298,                0.89884,                0.76938,                0.88188,                 0.5526,                 1.3197,                 0.8045,                 1.4552,               0.000595,               0.000595,               0.000595
                     98,                0.86995,                0.58048,                 1.1317,                0.90443,                 0.7674,                0.88233,                0.55355,                 1.3176,                0.80292,                 1.4487,               0.000496,               0.000496,               0.000496
                     99,                0.85015,                0.57686,                 1.1144,                0.87192,                0.79722,                0.88566,                0.55017,                 1.3332,                0.80314,                 1.4624,               0.000397,               0.000397,               0.000397
                    100,                 0.8602,                0.58577,                 1.1276,                0.88104,                0.79509,                0.88215,                0.55188,                 1.3199,                0.80565,                 1.4491,               0.000298,               0.000298,               0.000298
