                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.554,                 0.9733,                 1.6081,                0.85536,                0.74751,                0.86419,                 0.5173,                 1.7068,                 1.0175,                 1.6897,               0.006733,               0.006733,               0.006733
                     36,                 1.5298,                0.98358,                 1.6168,                0.85478,                0.73757,                0.85777,                0.52394,                 1.6645,                0.99899,                 1.6554,               0.006634,               0.006634,               0.006634
                     37,                  1.509,                0.94792,                 1.5826,                0.85792,                0.77734,                0.87183,                0.54323,                 1.6087,                0.95793,                 1.6268,               0.006535,               0.006535,               0.006535
                     38,                 1.5012,                0.93886,                 1.5598,                0.86706,                0.76502,                0.86723,                0.52871,                 1.6386,                0.98324,                 1.6418,               0.006436,               0.006436,               0.006436
                     39,                 1.5093,                0.93627,                 1.5734,                0.82524,                0.78926,                0.86157,                0.53108,                 1.6056,                0.98255,                 1.6217,               0.006337,               0.006337,               0.006337
                     40,                 1.4792,                0.90512,                 1.5314,                0.86313,                 0.7495,                0.85179,                0.53497,                  1.588,                0.95578,                 1.6263,               0.006238,               0.006238,               0.006238
                     41,                 1.4492,                0.90511,                 1.5442,                0.85387,                0.74751,                0.86112,                0.50848,                 1.6719,                0.99133,                 1.6958,               0.006139,               0.006139,               0.006139
                     42,                 1.4353,                 0.8976,                 1.5309,                0.83635,                  0.762,                0.86401,                0.51498,                 1.6761,                0.96717,                  1.694,                0.00604,                0.00604,                0.00604
                     43,                  1.414,                 0.8791,                 1.5109,                0.86954,                0.76855,                0.87101,                0.52577,                 1.6611,                0.94388,                 1.6436,               0.005941,               0.005941,               0.005941
                     44,                 1.4616,                0.88047,                  1.512,                 0.8471,                0.79523,                0.87622,                0.54325,                 1.6223,                0.89592,                 1.6637,               0.005842,               0.005842,               0.005842
                     45,                 1.4244,                0.85825,                 1.5032,                0.84945,                0.77336,                0.87289,                0.51959,                 1.7067,                0.94576,                 1.7043,               0.005743,               0.005743,               0.005743
                     46,                 1.3745,                0.84115,                 1.4705,                0.85473,                 0.7674,                0.87082,                0.52122,                   1.68,                0.97136,                 1.6807,               0.005644,               0.005644,               0.005644
                     47,                 1.4201,                0.86514,                 1.5044,                0.82795,                0.78728,                0.86127,                 0.5274,                 1.6641,                0.95438,                 1.6573,               0.005545,               0.005545,               0.005545
                     48,                 1.3916,                0.85392,                 1.4899,                0.81864,                 0.7833,                0.86573,                0.53922,                 1.6188,                0.91502,                 1.6173,               0.005446,               0.005446,               0.005446
                     49,                 1.3967,                0.84896,                 1.4759,                0.84987,                0.79125,                0.87568,                0.54519,                 1.6006,                0.89776,                 1.6144,               0.005347,               0.005347,               0.005347
                     50,                 1.3896,                0.82883,                 1.4671,                0.80306,                 0.8107,                0.86731,                0.52137,                 1.6858,                0.96631,                 1.6763,               0.005248,               0.005248,               0.005248
                     51,                 1.3445,                0.80879,                 1.4454,                0.82279,                0.76143,                0.86373,                0.52644,                 1.6341,                 0.9174,                 1.6216,               0.005149,               0.005149,               0.005149
                     52,                 1.3285,                0.78855,                 1.4198,                0.82127,                0.79475,                0.87402,                 0.5343,                 1.6094,                 0.9579,                 1.6352,                0.00505,                0.00505,                0.00505
                     53,                 1.3318,                0.79476,                 1.4278,                0.84205,                0.78529,                 0.8833,                 0.5539,                 1.6501,                0.88017,                 1.6565,               0.004951,               0.004951,               0.004951
                     54,                 1.3451,                0.80551,                 1.4407,                0.81057,                0.83366,                0.88365,                0.54444,                 1.6325,                0.90866,                 1.6495,               0.004852,               0.004852,               0.004852
                     55,                 1.2906,                0.76752,                  1.409,                 0.8588,                0.74354,                  0.863,                0.53905,                  1.585,                0.91262,                 1.6143,               0.004753,               0.004753,               0.004753
                     56,                 1.3025,                0.77806,                 1.4042,                0.81515,                0.78904,                0.86838,                0.53247,                 1.6103,                0.91461,                 1.6228,               0.004654,               0.004654,               0.004654
                     57,                 1.2796,                  0.751,                 1.3845,                0.83968,                0.79137,                0.87015,                0.53851,                 1.6488,                0.88283,                 1.6651,               0.004555,               0.004555,               0.004555
                     58,                 1.2793,                0.75238,                 1.3778,                0.79649,                0.80141,                0.86638,                0.54147,                 1.5902,                0.88674,                 1.6389,               0.004456,               0.004456,               0.004456
                     59,                 1.2542,                 0.7482,                 1.3795,                0.80827,                0.79523,                0.87614,                0.53769,                 1.6631,                0.91978,                 1.6591,               0.004357,               0.004357,               0.004357
                     60,                 1.2897,                0.76366,                 1.3882,                0.83426,                0.80517,                0.88123,                0.54921,                 1.6208,                0.86625,                 1.6198,               0.004258,               0.004258,               0.004258
                     61,                 1.2527,                0.73643,                 1.3576,                0.84888,                 0.7992,                0.87939,                0.55021,                 1.6506,                0.85726,                 1.6372,               0.004159,               0.004159,               0.004159
                     62,                 1.2544,                0.73527,                 1.3727,                0.85971,                0.77932,                0.87863,                0.54433,                   1.66,                0.86742,                  1.645,                0.00406,                0.00406,                0.00406
                     63,                 1.2319,                0.73527,                 1.3609,                0.86767,                0.79125,                0.87348,                0.54725,                  1.613,                 0.8499,                 1.6199,               0.003961,               0.003961,               0.003961
                     64,                  1.207,                0.71474,                 1.3389,                0.82606,                0.82107,                0.88184,                0.54465,                 1.6247,                0.83605,                 1.6365,               0.003862,               0.003862,               0.003862
