                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.6266,                  1.035,                 1.7132,                0.85393,                0.75348,                 0.8626,                0.52811,                 1.6549,                 1.0141,                 1.7298,               0.006733,               0.006733,               0.006733
                     36,                 1.6205,                 1.0615,                 1.7195,                 0.8475,                0.75944,                0.85119,                 0.5217,                 1.6479,                0.97532,                 1.7309,               0.006634,               0.006634,               0.006634
                     37,                  1.573,                 1.0093,                 1.6464,                0.86593,                0.73956,                0.85988,                0.51959,                 1.6418,                0.94631,                 1.6916,               0.006535,               0.006535,               0.006535
                     38,                 1.5828,                0.99661,                 1.6535,                0.86757,                0.76938,                0.87228,                0.54215,                 1.6179,                0.92006,                 1.6785,               0.006436,               0.006436,               0.006436
                     39,                 1.6038,                0.98178,                 1.6445,                0.85129,                0.77734,                0.86005,                0.54023,                 1.5746,                0.91856,                 1.6482,               0.006337,               0.006337,               0.006337
                     40,                 1.5356,                0.95011,                 1.6038,                0.84502,                0.75944,                0.85422,                0.53371,                 1.5988,                0.93527,                 1.6805,               0.006238,               0.006238,               0.006238
                     41,                 1.5235,                0.94145,                 1.6083,                0.86896,                0.75149,                0.85509,                0.54066,                 1.5902,                0.92631,                 1.6601,               0.006139,               0.006139,               0.006139
                     42,                 1.5036,                0.96601,                 1.6211,                0.86024,                0.77137,                0.86492,                0.53498,                 1.6022,                0.92598,                 1.6751,                0.00604,                0.00604,                0.00604
                     43,                 1.4887,                0.93585,                 1.5874,                0.86034,                 0.7833,                0.87472,                0.54614,                 1.6048,                0.92494,                 1.6697,               0.005941,               0.005941,               0.005941
                     44,                 1.4846,                0.91835,                 1.5579,                 0.8675,                0.79125,                 0.8763,                0.54451,                 1.5923,                0.89506,                 1.6587,               0.005842,               0.005842,               0.005842
                     45,                 1.5057,                0.90818,                 1.5722,                0.85753,                0.76938,                0.86448,                0.53585,                 1.6214,                0.91152,                 1.6916,               0.005743,               0.005743,               0.005743
                     46,                 1.4622,                0.91096,                 1.5581,                0.82248,                 0.7833,                0.86635,                 0.5388,                 1.5977,                  0.903,                 1.6694,               0.005644,               0.005644,               0.005644
                     47,                 1.4546,                0.88183,                 1.5392,                0.85074,                0.80517,                0.87026,                0.52917,                 1.6284,                0.88772,                 1.7019,               0.005545,               0.005545,               0.005545
                     48,                 1.4096,                0.86732,                 1.5624,                0.82382,                0.79949,                0.87471,                0.53683,                 1.6065,                0.90403,                 1.6835,               0.005446,               0.005446,               0.005446
                     49,                 1.4254,                0.87759,                   1.53,                0.83588,                0.77965,                0.86471,                0.54044,                 1.5772,                0.92345,                 1.6465,               0.005347,               0.005347,               0.005347
                     50,                 1.4366,                0.87699,                 1.5567,                0.84774,                 0.7833,                0.87853,                0.54756,                 1.5818,                0.88003,                 1.6591,               0.005248,               0.005248,               0.005248
                     51,                 1.3898,                0.85387,                 1.5097,                0.83013,                0.82584,                0.88594,                0.55709,                 1.5838,                0.88163,                 1.6635,               0.005149,               0.005149,               0.005149
                     52,                 1.3959,                0.85763,                 1.5013,                0.88451,                0.76129,                0.88149,                0.55159,                 1.5857,                0.86589,                 1.6481,                0.00505,                0.00505,                0.00505
                     53,                 1.4596,                0.92517,                 1.5939,                0.85072,                0.77336,                0.87343,                0.54159,                 1.5829,                0.89801,                 1.6666,               0.004951,               0.004951,               0.004951
                     54,                 1.3839,                0.85638,                 1.5148,                0.87258,                0.77734,                0.87907,                0.55506,                 1.5298,                0.87031,                 1.6259,               0.004852,               0.004852,               0.004852
                     55,                 1.3838,                0.85243,                 1.5053,                 0.8478,                0.78628,                0.87323,                0.54608,                 1.5942,                0.87759,                 1.6506,               0.004753,               0.004753,               0.004753
                     56,                 1.3767,                0.84048,                 1.4765,                0.86394,                 0.7827,                0.87023,                0.55554,                 1.5565,                0.87931,                 1.6262,               0.004654,               0.004654,               0.004654
                     57,                 1.3173,                0.81487,                 1.4954,                0.87209,                 0.7726,                0.87533,                0.55299,                 1.5552,                0.85847,                 1.6266,               0.004555,               0.004555,               0.004555
                     58,                 1.3313,                0.80367,                 1.4663,                 0.8978,                0.77535,                0.87361,                0.54946,                  1.568,                0.86567,                 1.6283,               0.004456,               0.004456,               0.004456
                     59,                   1.36,                0.80671,                 1.4612,                0.89637,                 0.7674,                0.88123,                0.55063,                 1.5885,                0.85886,                 1.6347,               0.004357,               0.004357,               0.004357
                     60,                 1.3268,                0.80706,                 1.4554,                0.85179,                0.77535,                0.87401,                0.54371,                 1.5769,                0.86077,                 1.6358,               0.004258,               0.004258,               0.004258
                     61,                 1.3478,                0.78851,                 1.4726,                  0.805,                0.82069,                0.87879,                0.54706,                 1.5819,                0.86394,                 1.6398,               0.004159,               0.004159,               0.004159
                     62,                 1.3248,                0.79754,                 1.4479,                  0.866,                0.76143,                0.87635,                0.54722,                 1.5671,                0.86577,                 1.6393,                0.00406,                0.00406,                0.00406
                     63,                 1.3371,                0.78256,                 1.4345,                0.84344,                 0.8171,                 0.8801,                0.56311,                 1.5375,                0.85967,                  1.622,               0.003961,               0.003961,               0.003961
                     64,                 1.2804,                0.75338,                 1.4092,                0.85192,                0.79125,                0.87344,                0.55239,                 1.5651,                0.85928,                  1.648,               0.003862,               0.003862,               0.003862
                     65,                 1.3122,                0.76717,                 1.4437,                0.84526,                0.78926,                0.87484,                0.55324,                 1.5504,                0.85531,                 1.6298,               0.003763,               0.003763,               0.003763
                     66,                 1.3097,                 0.8124,                 1.4207,                0.83731,                0.79722,                0.88461,                0.56037,                 1.5565,                0.83399,                 1.6307,               0.003664,               0.003664,               0.003664
