                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.4606,                 1.1068,                 1.6449,                0.83435,                0.76342,                0.84689,                0.48791,                 1.4786,                 1.0291,                 1.6467,               0.006733,               0.006733,               0.006733
                     36,                  1.468,                 1.1242,                 1.6461,                0.86936,                0.68986,                0.83239,                0.46797,                 1.5108,                 1.0324,                 1.6875,               0.006634,               0.006634,               0.006634
                     37,                 1.4327,                 1.0873,                 1.6116,                0.83745,                0.73746,                0.84629,                0.49497,                 1.4692,                 1.0195,                 1.6279,               0.006535,               0.006535,               0.006535
                     38,                 1.4483,                 1.0985,                 1.6107,                 0.8498,                0.71986,                0.83466,                0.49482,                 1.4316,                 1.0164,                 1.6049,               0.006436,               0.006436,               0.006436
                     39,                 1.3893,                 1.0497,                 1.5824,                0.82581,                0.76938,                0.83944,                0.50015,                 1.4285,                 1.0203,                 1.6049,               0.006337,               0.006337,               0.006337
                     40,                 1.4209,                 1.0593,                 1.5933,                0.84057,                0.73371,                0.84479,                0.50243,                 1.4619,                0.99655,                 1.6128,               0.006238,               0.006238,               0.006238
                     41,                 1.3774,                 1.0405,                 1.5633,                0.85371,                0.74155,                0.84706,                0.49381,                   1.49,                 1.0019,                 1.6347,               0.006139,               0.006139,               0.006139
                     42,                 1.3658,                 1.0214,                 1.5502,                0.83313,                0.74354,                 0.8379,                0.49424,                 1.4386,                 1.0186,                 1.5902,                0.00604,                0.00604,                0.00604
                     43,                 1.3546,                 1.0101,                 1.5434,                0.86585,                 0.7336,                0.84233,                0.51194,                 1.4288,                0.97835,                 1.5975,               0.005941,               0.005941,               0.005941
                     44,                 1.3422,                 1.0087,                 1.5354,                0.84273,                0.74354,                0.84566,                0.49235,                 1.4962,                 1.0123,                 1.6536,               0.005842,               0.005842,               0.005842
                     45,                 1.3482,                 1.0053,                 1.5435,                0.89475,                0.76342,                0.86102,                0.52112,                 1.4152,                 0.9711,                 1.5714,               0.005743,               0.005743,               0.005743
                     46,                 1.3114,                0.98484,                 1.5131,                0.85289,                 0.7674,                0.85969,                0.50042,                 1.4243,                 1.0072,                 1.5835,               0.005644,               0.005644,               0.005644
                     47,                 1.3002,                0.96994,                 1.4917,                0.85996,                0.76342,                0.86085,                0.49306,                 1.4707,                 1.0172,                 1.6108,               0.005545,               0.005545,               0.005545
