                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.0112,                 2.0021,                 2.2947,                 0.4815,                0.35817,                0.37995,                 0.1648,                 2.1348,                 2.1064,                 2.4644,               0.006733,               0.006733,               0.006733
                     36,                 1.9889,                 1.9384,                 2.2558,                0.57823,                0.40954,                0.44693,                0.18762,                 2.1688,                 1.9726,                 2.4955,               0.006634,               0.006634,               0.006634
                     37,                 1.9798,                 1.9207,                  2.231,                0.47654,                0.34195,                0.36584,                0.16037,                 2.1212,                 2.0679,                 2.4306,               0.006535,               0.006535,               0.006535
                     38,                 1.9388,                 1.8912,                 2.1995,                0.45231,                0.39405,                0.39604,                0.17763,                 2.0078,                 2.3578,                 2.3103,               0.006436,               0.006436,               0.006436
                     39,                 1.9002,                 1.8634,                 2.1732,                0.58849,                 0.4175,                0.45604,                0.21506,                 1.9891,                 1.8805,                 2.2937,               0.006337,               0.006337,               0.006337
                     40,                   1.88,                 1.8154,                 2.1384,                0.47463,                0.37717,                0.38808,                 0.1789,                 2.0073,                 2.0951,                 2.3178,               0.006238,               0.006238,               0.006238
                     41,                 1.8821,                 1.8226,                 2.1597,                0.62752,                0.43206,                0.50068,                 0.2354,                 1.9125,                 1.8011,                 2.2241,               0.006139,               0.006139,               0.006139
                     42,                 1.8772,                 1.8187,                 2.1233,                 0.5516,                0.42942,                0.44718,                0.19575,                 2.0358,                 1.8789,                 2.3336,                0.00604,                0.00604,                0.00604
                     43,                 1.8542,                  1.789,                  2.098,                0.62862,                0.48794,                0.54054,                0.26071,                 1.9355,                   1.72,                 2.2158,               0.005941,               0.005941,               0.005941
                     44,                 1.8328,                 1.8009,                 2.1107,                 0.6789,                0.49702,                0.56242,                0.27894,                 1.8352,                 1.6721,                 2.1482,               0.005842,               0.005842,               0.005842
